code, lat, lng, point, alt, name, region, name_k, region_k
JA/NI-001,36.7946,137.754,10,2611,Yukikuradake,Itoigawa-city<JCC#0816>Shimoniikawa-gun<JCG#28003A>,雪倉岳,新潟県糸魚川市<JCC#0816>富山県下新川郡朝日町<JCG#28003A>
JA/NI-002,36.9227,138.0681,10,2462,Hiuchiyama,Myoko-city<JCC#0827>Itoigawa-city<JCC#0816>,火打山,新潟県妙高市<JCC#0827>新潟県糸魚川市<JCC#0816>
JA/NI-003,36.8913,138.1135,10,2454,Myoukousan,Myoko-city<JCC#0827>,妙高山,新潟県妙高市<JCC#0827>
JA/NI-004,36.921,138.036,10,2400,Yakeyama,Itoigawa-city<JCC#0816>Myoko-city<JCC#0827>,焼山,新潟県糸魚川市<JCC#0816>新潟県妙高市<JCC#0827>
JA/NI-005,36.8459,138.6903,10,2145,Naebasan,Nakauonuma-gun<JCG#08008B>Minamiuonuma-gun<JCG#08015D>Shimominochi-gun<JCG#09010B>,苗場山,新潟県中魚沼郡津南町<JCG#08008B>新潟県南魚沼郡湯沢町<JCG#08015D>長野県下水内郡栄村<JCG#09010B>
JA/NI-006,37.0021,139.1709,10,2141,Hiragatake,Uonuma-city<JCC#0825>Tone-gun<JCG#16010I>,平ヶ岳,新潟県魚沼市<JCC#0825>群馬県利根郡みなかみ町<JCG#16010I>
JA/NI-007,37.8332,139.6607,10,2128,Dainichidake,Shibata-city<JCC#0806>Higashikambara-gun<JCG#08013E>,大日岳,新潟県新発田市<JCC#0806>新潟県東蒲原郡阿賀町<JCG#08013E>
JA/NI-008,37.8549,139.7071,10,2105,Iidesan,Kitakata-city<JCC#0708>,飯豊山,福島県喜多方市<JCC#0708>
JA/NI-009,37.0852,139.0776,10,2085,Nakanodake,Minamiuonuma-city<JCC#0826>Uonuma-city<JCC#0825>,中ノ岳,新潟県南魚沼市<JCC#0826>新潟県魚沼市<JCC#0825>
JA/NI-010,36.7936,138.6894,10,2052,Narazuyama,Minamiuonuma-gun<JCG#08015D>Shimominochi-gun<JCG#09010B>,ナラズ山,新潟県南魚沼郡湯沢町<JCG#08015D>長野県下水内郡栄村<JCG#09010B>
JA/NI-011,37.88,139.6385,10,2025,Kitamatadake,Shibata-city<JCC#0806>Nishiokitama-gun<JCG#05003B>,北股岳,新潟県新発田市<JCC#0806>山形県西置賜郡小国町<JCG#05003B>
